title,number,score,platform,release_date,web_page
Burnout 3: Takedown,132,9.0,PlayStation 2,"September 7, 2004",https://www.metacritic.com/game/playstation-2/burnout-3-takedown
Pikmin 2,133,9.0,GameCube,"August 30, 2004",https://www.metacritic.com/game/gamecube/pikmin-2
Tales of Symphonia,134,9.0,GameCube,"July 13, 2004",https://www.metacritic.com/game/gamecube/tales-of-symphonia
Star Wars: Knights of the Old Republic,135,9.0,PC,"November 18, 2003",https://www.metacritic.com/game/pc/star-wars-knights-of-the-old-republic
Fire Emblem,136,9.0,Game Boy Advance,"November 3, 2003",https://www.metacritic.com/game/game-boy-advance/fire-emblem
Gothic II,137,9.0,PC,"October 28, 2003",https://www.metacritic.com/game/pc/gothic-ii
Final Fantasy Tactics Advance,138,9.0,Game Boy Advance,"September 8, 2003",https://www.metacritic.com/game/game-boy-advance/final-fantasy-tactics-advance
Dynasty Warriors 4,139,9.0,PlayStation 2,"March 25, 2003",https://www.metacritic.com/game/playstation-2/dynasty-warriors-4
The Legend of Zelda: The Wind Waker,140,9.0,GameCube,"March 24, 2003",https://www.metacritic.com/game/gamecube/the-legend-of-zelda-the-wind-waker
The Legend of Zelda: A Link to the Past,141,9.0,Game Boy Advance,"December 3, 2002",https://www.metacritic.com/game/game-boy-advance/the-legend-of-zelda-a-link-to-the-past
Super Mario World: Super Mario Advance 2,142,9.0,Game Boy Advance,"February 9, 2002",https://www.metacritic.com/game/game-boy-advance/super-mario-world-super-mario-advance-2
NFL 2K2,143,9.0,Xbox,"January 9, 2002",https://www.metacritic.com/game/xbox/nfl-2k2
Golden Sun,144,9.0,Game Boy Advance,"November 11, 2001",https://www.metacritic.com/game/game-boy-advance/golden-sun
Paper Mario,145,9.0,Nintendo 64,"February 5, 2001",https://www.metacritic.com/game/nintendo-64/paper-mario
Xtreme Sports,146,9.0,Dreamcast,"November 27, 2000",https://www.metacritic.com/game/dreamcast/xtreme-sports
Resident Evil 3: Nemesis,147,9.0,Dreamcast,"November 17, 2000",https://www.metacritic.com/game/dreamcast/resident-evil-3-nemesis
Final Fantasy IX,148,9.0,PlayStation,"November 13, 2000",https://www.metacritic.com/game/playstation/final-fantasy-ix
F1 Championship Season 2000,149,9.0,PlayStation,"September 30, 2000",https://www.metacritic.com/game/playstation/f1-championship-season-2000
Vagrant Story,150,9.0,PlayStation,"May 15, 2000",https://www.metacritic.com/game/playstation/vagrant-story
Gran Turismo 2,151,9.0,PlayStation,"November 30, 1999",https://www.metacritic.com/game/playstation/gran-turismo-2
Unreal Tournament (1999),152,9.0,PC,"November 30, 1999",https://www.metacritic.com/game/pc/unreal-tournament-1999
Age of Empires II: The Age of Kings,153,9.0,PC,"September 30, 1999",https://www.metacritic.com/game/pc/age-of-empires-ii-the-age-of-kings
Crash Team Racing,154,9.0,PlayStation,"September 30, 1999",https://www.metacritic.com/game/playstation/crash-team-racing
